"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"TXNIP",6.84167361634052e-50,-0.789325773761869,0.775,0.964,1.59486253670514e-45,"TXNIP","Up in Healthy"
"IGKC",9.66137314220061e-45,1.48503037983894,0.629,0.144,2.25216269317839e-40,"IGKC","Up in Severe"
"CLU",2.39276922055798e-44,3.52334861984081,0.436,0.075,5.57778433004271e-40,"CLU","Up in Severe"
"PPBP",4.5404446871564e-41,4.02883261381793,0.518,0.15,1.05842306102303e-36,"PPBP","Up in Severe"
"PF4",9.44747864500266e-36,4.55282003885489,0.452,0.1,2.20230174693657e-31,"PF4","Up in Severe"
"XIST",4.84927269284251e-35,-1.61095360925993,0.227,0.615,1.13041395742852e-30,"XIST","Up in Healthy"
"KLF2",9.31405220564015e-35,-1.06360334492762,0.559,0.871,2.17119870965678e-30,"KLF2","Up in Healthy"
"MYL9",2.15731983515178e-34,4.52271516310172,0.304,0.041,5.02892826772232e-30,"MYL9","Up in Severe"
"CXCL8",6.94154166865198e-32,6.74423060725802,0.264,0.011,1.61814277837946e-27,"CXCL8","Up in Severe"
"NRGN",2.64810212433249e-31,3.1625721623967,0.532,0.251,6.17299086203147e-27,"NRGN","Up in Severe"
"IGHA1",4.67902908393976e-31,2.67446546944802,0.315,0.042,1.0907284697572e-26,"IGHA1","Up in Severe"
"RPS4X",4.34688353482579e-29,-0.568342768707166,0.863,0.987,1.01330202080324e-24,"RPS4X","Up in Healthy"
"RPL3",1.51024450303999e-28,-0.563941590816113,0.828,0.981,3.52053096103651e-24,"RPL3","Up in Healthy"
"ARL4C",5.73071259674259e-28,-1.08888892890664,0.342,0.657,1.33588641342667e-23,"ARL4C","Up in Healthy"
"RPS27",8.40496072256533e-28,-0.559322344048997,0.904,0.989,1.95928039403721e-23,"RPS27","Up in Healthy"
"TRDC",2.54665936996831e-27,-2.73076784096765,0.055,0.26,5.93651765733313e-23,"TRDC","Up in Healthy"
"GNLY",3.10159317385742e-27,-1.89515260976789,0.158,0.452,7.23012384757902e-23,"GNLY","Up in Healthy"
"LSP1",9.09639079492079e-27,-0.819666115146341,0.571,0.802,2.12045965820399e-22,"LSP1","Up in Healthy"
"CAVIN2",1.40060803477522e-25,3.03848927979918,0.287,0.08,3.26495738986452e-21,"CAVIN2","Up in Severe"
"NCL",1.61277526773799e-24,-0.717789804276567,0.575,0.791,3.75954042662403e-20,"NCL","Up in Healthy"
"PTPRC",2.49319312129091e-24,-0.634159052552959,0.734,0.927,5.81188248504123e-20,"PTPRC","Up in Healthy"
"PNISR",3.58119366026285e-24,-0.673026682641064,0.653,0.879,8.34812054143873e-20,"PNISR","Up in Healthy"
"AC004687.1",3.6374198854128e-24,-1.95085086493933,0.161,0.426,8.47918949488578e-20,"AC004687.1","Up in Healthy"
"GNG11",4.80653277910807e-24,3.21161923517315,0.304,0.079,1.12045085613788e-19,"GNG11","Up in Severe"
"AHNAK",7.69437991514771e-24,-1.02229595381813,0.503,0.751,1.79363690202008e-19,"AHNAK","Up in Healthy"
"HIST1H2AC",2.64704366837981e-23,3.49463051826453,0.317,0.098,6.17052349536017e-19,"HIST1H2AC","Up in Severe"
"CTSW",3.57819324560054e-23,-1.66739552085246,0.188,0.444,8.34112627481941e-19,"CTSW","Up in Healthy"
"FCGR3A",1.38377033940756e-22,-1.85990968215734,0.157,0.406,3.22570703819296e-18,"FCGR3A","Up in Healthy"
"RPL23A",3.62264409479838e-22,-0.509816835981758,0.83,0.979,8.4447456493845e-18,"RPL23A","Up in Healthy"
"SF1",3.81850283334552e-22,-0.65593595626089,0.647,0.865,8.90131195481174e-18,"SF1","Up in Healthy"
"HOPX",4.21742127527815e-22,-1.74197999169519,0.164,0.396,9.8312307348009e-18,"HOPX","Up in Healthy"
"CD247",4.81461015715831e-22,-1.24890071360147,0.205,0.46,1.12233377373517e-17,"CD247","Up in Healthy"
"FUS",6.7237485457172e-22,-0.69440584629421,0.627,0.848,1.56737302349214e-17,"FUS","Up in Healthy"
"ANKRD44",1.99684515561804e-21,-0.811067512888639,0.375,0.587,4.65484574226122e-17,"ANKRD44","Up in Healthy"
"HLA-DPB1",2.00263433101921e-21,-1.06486373273998,0.511,0.781,4.66834088903888e-17,"HLA-DPB1","Up in Healthy"
"IL32",3.0686250397413e-21,-1.3811299418798,0.25,0.545,7.15327183014094e-17,"IL32","Up in Healthy"
"POLR2J3.1",6.73890524397701e-21,-0.957563396246016,0.412,0.653,1.57090620142348e-16,"POLR2J3.1","Up in Healthy"
"RPS29",1.07726926349361e-20,-0.508956842911494,0.85,0.982,2.51122238012996e-16,"RPS29","Up in Healthy"
"NKTR",2.25118632826049e-20,-0.760996721680025,0.422,0.649,5.24774044980803e-16,"NKTR","Up in Healthy"
"RBM3",2.74646054849404e-20,-0.683658818203253,0.648,0.85,6.40227418459446e-16,"RBM3","Up in Healthy"
