"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"IGKC",5.3924695257542e-71,2.87478302010749,0.629,0.07,1.25703857114856e-66,"IGKC","Up in Severe COVID"
"PPBP",2.78087574592108e-56,4.51784252295209,0.518,0.058,6.48249945131664e-52,"PPBP","Up in Severe COVID"
"PF4",9.85347671684036e-56,5.00862958664549,0.452,0.037,2.29694395746266e-51,"PF4","Up in Severe COVID"
"S100A4",1.05535524463087e-48,-1.11015315378166,0.714,0.941,2.46013861075902e-44,"S100A4","Up in Influenza"
"ANXA1",3.7679031143659e-46,-1.10976605490938,0.561,0.861,8.78335894989834e-42,"ANXA1","Up in Influenza"
"MT-CO2",2.3011469567051e-37,-0.558751468885343,0.985,0.993,5.36420367077526e-33,"MT-CO2","Up in Influenza"
"S100A10",4.55134532302233e-36,-1.08916506244577,0.674,0.906,1.06096410824973e-31,"S100A10","Up in Influenza"
"MYL9",5.04096007314372e-36,4.41638588950476,0.304,0.029,1.17509820265053e-31,"MYL9","Up in Severe COVID"
"AHNAK",3.30178479063755e-35,-1.29138920295311,0.503,0.763,7.69679052545518e-31,"AHNAK","Up in Influenza"
"GNG11",4.32759057838823e-35,4.19471907773222,0.304,0.026,1.00880463972808e-30,"GNG11","Up in Severe COVID"
"CAVIN2",2.94536318107068e-34,3.97645788716892,0.287,0.03,6.86593611139385e-30,"CAVIN2","Up in Severe COVID"
"IGHA1",6.68244709615067e-34,4.66348159219128,0.315,0.027,1.55774524258368e-29,"IGHA1","Up in Severe COVID"
"LYZ",8.51290422171976e-29,-0.997769365392356,0.485,0.763,1.98444310312509e-24,"LYZ","Up in Influenza"
"S100A11",1.32555694295845e-28,-0.773222304052434,0.563,0.849,3.09000578973044e-24,"S100A11","Up in Influenza"
"HSPA1A",2.60125328008023e-28,-3.48781392798185,0.07,0.34,6.06378152119501e-24,"HSPA1A","Up in Influenza"
"HLA-DQA2",3.13513399984841e-28,-2.47564959787799,0.053,0.368,7.30831086704664e-24,"HLA-DQA2","Up in Influenza"
"PTPRC",5.01512263870189e-28,-0.782782537267205,0.734,0.911,1.1690752383078e-23,"PTPRC","Up in Influenza"
"FGL2",1.82716966992266e-27,-1.26820727448364,0.334,0.594,4.25931521755671e-23,"FGL2","Up in Influenza"
"GIMAP4",2.1818840901426e-26,-1.75785777703657,0.25,0.565,5.08619000253142e-22,"GIMAP4","Up in Influenza"
"IGLC2",3.3251379114623e-26,2.98005736060463,0.257,0.047,7.75122898540977e-22,"IGLC2","Up in Severe COVID"
"TMEM176B",5.08219515851507e-26,-1.9747640341541,0.159,0.431,1.18471051340145e-21,"TMEM176B","Up in Influenza"
"S100A6",1.67524160818304e-25,-0.726259966767906,0.768,0.945,3.90515571283548e-21,"S100A6","Up in Influenza"
"SAMHD1",3.28801011014639e-25,-1.27216940735023,0.457,0.74,7.66468036776224e-21,"SAMHD1","Up in Influenza"
"NEAT1",7.22558876315947e-25,-0.536087869654824,0.757,0.946,1.6843569965801e-20,"NEAT1","Up in Influenza"
"PDLIM1",7.8470421174625e-25,3.43973693803399,0.329,0.122,1.82922398800168e-20,"PDLIM1","Up in Severe COVID"
"TMSB10",1.15204517713838e-24,-0.604711704699733,0.88,0.975,2.68553251242727e-20,"TMSB10","Up in Influenza"
"VIM",2.54410610783601e-24,-0.685746117620318,0.786,0.938,5.93056574797652e-20,"VIM","Up in Influenza"
"LCP1",8.07124446874529e-24,-0.670538993003377,0.621,0.86,1.88148779810921e-19,"LCP1","Up in Influenza"
"DBI",1.98231977088552e-23,-0.856227104026523,0.584,0.801,4.62098561791123e-19,"DBI","Up in Influenza"
"MNDA",3.02269274292622e-23,-1.15162178428639,0.391,0.607,7.04619905303531e-19,"MNDA","Up in Influenza"
"CORO1A",5.51220639938785e-23,-0.702607595091602,0.711,0.883,1.2849504337613e-18,"CORO1A","Up in Influenza"
"TAP1",9.4452965412946e-23,-1.69182850942423,0.287,0.577,2.20179307674119e-18,"TAP1","Up in Influenza"
"UCP2",1.15742132887968e-22,-0.921225450138892,0.52,0.753,2.69806485975142e-18,"UCP2","Up in Influenza"
"EIF1",3.61686310174286e-22,0.553485679835667,0.98,0.982,8.43126957647277e-18,"EIF1","Up in Severe COVID"
"PSME2",4.22941942693551e-22,-1.44755362525381,0.545,0.756,9.85919962612937e-18,"PSME2","Up in Influenza"
"RARRES3",5.92820946895303e-22,-1.65609732717048,0.383,0.636,1.38192490930764e-17,"RARRES3","Up in Influenza"
"TSPO",9.75377179030643e-22,-0.698593346199745,0.619,0.84,2.27370174203833e-17,"TSPO","Up in Influenza"
"CEBPD",1.04667310367218e-21,-0.825576822106685,0.405,0.654,2.43989967197023e-17,"CEBPD","Up in Influenza"
"FYB1",1.43321610111618e-21,-0.805617594742203,0.608,0.832,3.34097005331193e-17,"FYB1","Up in Influenza"
"ANXA5",1.52560679022744e-21,-0.823671068639429,0.464,0.709,3.5563419886992e-17,"ANXA5","Up in Influenza"
"PFN1",2.28897369684156e-21,-0.561783806655913,0.888,0.957,5.33582658470736e-17,"PFN1","Up in Influenza"
"MYO1F",2.55943244567844e-21,-0.681056629652239,0.503,0.787,5.96629297412101e-17,"MYO1F","Up in Influenza"
"VAMP5",4.04729349408044e-21,-1.47911277787471,0.409,0.643,9.43464586405091e-17,"VAMP5","Up in Influenza"
"LSP1",4.52877320989338e-21,-0.757863781386153,0.571,0.751,1.05570232295825e-16,"LSP1","Up in Influenza"
"MVP",1.05448000341357e-20,-1.23555532778875,0.294,0.504,2.45809833595736e-16,"MVP","Up in Influenza"
"FKBP5",1.0911763918391e-20,-1.12536292659989,0.367,0.597,2.54364128701614e-16,"FKBP5","Up in Influenza"
"GLIPR2",1.75202669846448e-20,-0.952631843011486,0.393,0.632,4.08414943679054e-16,"GLIPR2","Up in Influenza"
"GZMA",2.29849044819793e-20,-1.66790145700155,0.179,0.464,5.3580110837942e-16,"GZMA","Up in Influenza"
"HIST1H2AC",3.19495583539433e-20,3.72661406603063,0.317,0.128,7.44776154788772e-16,"HIST1H2AC","Up in Severe COVID"
"MYO1G",4.51749009421892e-20,-0.829277825346859,0.464,0.695,1.05307211586337e-15,"MYO1G","Up in Influenza"
"VCAN",7.36531714315729e-20,-1.00136850145396,0.374,0.617,1.7169290792414e-15,"VCAN","Up in Influenza"
"TMEM176A",8.96685875426317e-20,-1.77639908447282,0.13,0.341,2.09026444420629e-15,"TMEM176A","Up in Influenza"
"PSMB9",1.08226693393135e-19,-1.18269590905905,0.548,0.752,2.52287244968736e-15,"PSMB9","Up in Influenza"
"HSPA8",1.26821748227843e-19,-1.21356111004828,0.519,0.733,2.95634177293924e-15,"HSPA8","Up in Influenza"
"KLF2",1.71283418002835e-19,-1.062978256737,0.559,0.801,3.99278775706409e-15,"KLF2","Up in Influenza"
"NRGN",2.23160974493442e-19,3.46587434513027,0.532,0.317,5.20210547641663e-15,"NRGN","Up in Severe COVID"
"KLF6",2.4130983632265e-19,-0.82235276304038,0.664,0.841,5.6251735945173e-15,"KLF6","Up in Influenza"
"CYBA",2.70008662799547e-19,-0.549253793582923,0.813,0.943,6.29417193852023e-15,"CYBA","Up in Influenza"
"SELPLG",3.67768139665358e-19,-1.31567343830803,0.288,0.539,8.57304310373915e-15,"SELPLG","Up in Influenza"
"ARHGAP30",4.9410419088376e-19,-0.885890939055288,0.396,0.599,1.15180627936913e-14,"ARHGAP30","Up in Influenza"
"DDIT3",8.49617413754234e-19,1.96227811764326,0.332,0.121,1.98054315320249e-14,"DDIT3","Up in Severe COVID"
"MTURN",1.40063832753249e-18,3.34775210894231,0.261,0.075,3.26502800531099e-14,"MTURN","Up in Severe COVID"
"GBP2",1.99066704600766e-18,-1.29904729691928,0.29,0.517,4.64044395094845e-14,"GBP2","Up in Influenza"
"FAM198B",2.20846883539827e-18,-1.58631435837414,0.13,0.276,5.1481617021969e-14,"FAM198B","Up in Influenza"
"DPYSL2",4.9112837692658e-18,-1.67602365243543,0.211,0.423,1.14486935945355e-13,"DPYSL2","Up in Influenza"
"C9orf16",5.78878856502378e-18,1.62254894899145,0.638,0.47,1.34942450239269e-13,"C9orf16","Up in Severe COVID"
"YWHAB",6.57190157141888e-18,-0.572266454855671,0.705,0.879,1.53197597531346e-13,"YWHAB","Up in Influenza"
"ADGRE5",7.4891163512592e-18,-0.978998954708983,0.463,0.71,1.74578791264203e-13,"ADGRE5","Up in Influenza"
"PSTPIP1",8.59314614397008e-18,-0.995984795656126,0.299,0.498,2.00314829762087e-13,"PSTPIP1","Up in Influenza"
"NKG7",1.06278209177116e-17,-1.5108464672042,0.355,0.603,2.47745133412775e-13,"NKG7","Up in Influenza"
"GBP1",1.06418459366893e-17,-1.69754980564121,0.172,0.433,2.48072070630165e-13,"GBP1","Up in Influenza"
"TYMP",1.70596917176094e-17,-1.02668908964859,0.502,0.731,3.97678473629193e-13,"TYMP","Up in Influenza"
"S100A12",2.72616485576213e-17,-0.712503982762589,0.385,0.626,6.3549628952671e-13,"S100A12","Up in Influenza"
"ANXA2",3.23842401737913e-17,-0.741198361361814,0.485,0.744,7.5490902269125e-13,"ANXA2","Up in Influenza"
"IL17RA",3.31537690833622e-17,-0.968293230664239,0.311,0.476,7.72847511102256e-13,"IL17RA","Up in Influenza"
"CSK",3.36576748926574e-17,-0.859992173232036,0.428,0.624,7.84594059422737e-13,"CSK","Up in Influenza"
"GZMH",3.48074474895178e-17,-1.68356094901106,0.16,0.43,8.11396408428151e-13,"GZMH","Up in Influenza"
"ADA2",3.71294236655671e-17,-1.04410877546389,0.282,0.451,8.65523995068035e-13,"ADA2","Up in Influenza"
"PRR13",4.78257298677484e-17,-0.620233474655233,0.607,0.794,1.11486558894708e-12,"PRR13","Up in Influenza"
"PRDX1",4.88194833023883e-17,-0.785655806089256,0.424,0.62,1.13803097526197e-12,"PRDX1","Up in Influenza"
"MS4A6A",5.33661682571265e-17,-0.911637284887109,0.338,0.53,1.24401874824188e-12,"MS4A6A","Up in Influenza"
"MT2A",7.62161424222394e-17,-1.19527877962603,0.461,0.696,1.77667449600482e-12,"MT2A","Up in Influenza"
"CTSS",1.52519118063528e-16,-0.58942883973468,0.617,0.809,3.55537316117889e-12,"CTSS","Up in Influenza"
"EFHD2",1.59120938038971e-16,-0.590087388583525,0.565,0.814,3.70926818662646e-12,"EFHD2","Up in Influenza"
"UBE2L6",1.74738793749171e-16,-1.19500094422846,0.363,0.58,4.07333602108694e-12,"UBE2L6","Up in Influenza"
"ARHGAP26",1.90902029676536e-16,-1.02947662396864,0.218,0.354,4.45011721378972e-12,"ARHGAP26","Up in Influenza"
"ID2",1.98327933804734e-16,-0.864258003106893,0.424,0.682,4.62322246492217e-12,"ID2","Up in Influenza"
"ALDH2",3.16091473505902e-16,-0.792211381186085,0.28,0.416,7.36840833889609e-12,"ALDH2","Up in Influenza"
"LTA4H",3.35160824578952e-16,-0.866434670075749,0.382,0.534,7.81293398175995e-12,"LTA4H","Up in Influenza"
"CYBB",3.35302645533262e-16,-0.943983524371393,0.396,0.563,7.81623997002587e-12,"CYBB","Up in Influenza"
"KCTD12",3.73703576159579e-16,-1.2443363421951,0.259,0.443,8.71140406385594e-12,"KCTD12","Up in Influenza"
"PRF1",3.77651569397435e-16,-1.48593394525251,0.162,0.402,8.8034357342236e-12,"PRF1","Up in Influenza"
"SHKBP1",4.07643687838535e-16,-0.613945770470557,0.39,0.558,9.50258200720409e-12,"SHKBP1","Up in Influenza"
