"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"HBB",4.63328235097333e-41,5.36168710656422,0.371,0.042,1.08006444883539e-36,"HBB","Up in Severe"
"CLU",1.03602290470915e-30,2.11858165834431,0.436,0.148,2.4150729931675e-26,"CLU","Up in Severe"
"ARL4C",6.83332332494902e-28,-1.27483604120916,0.342,0.617,1.59291600027887e-23,"ARL4C","Up in Mild"
"HBA2",8.70951573714987e-28,5.21611146409412,0.269,0.027,2.03027521348701e-23,"HBA2","Up in Severe"
"IGHA1",1.38447642694672e-27,3.12844805850885,0.315,0.05,3.2273529988555e-23,"IGHA1","Up in Severe"
"IGKC",2.19522203486217e-24,0.991020943112614,0.629,0.277,5.11728208546721e-20,"IGKC","Up in Severe"
"JUND",2.94993502414377e-23,-0.558455879300485,0.816,0.943,6.87659353478155e-19,"JUND","Up in Mild"
"HLA-DRB5",1.01797387901635e-22,-1.7023640637482,0.294,0.583,2.372998909375e-18,"HLA-DRB5","Up in Mild"
"HLA-DQA2",1.82668311798067e-22,-2.73526387516763,0.053,0.32,4.25818101632474e-18,"HLA-DQA2","Up in Mild"
"MYL9",2.1321106914076e-21,2.79313153570784,0.304,0.096,4.97016323274026e-17,"MYL9","Up in Severe"
"FUS",3.4118461882825e-21,-0.751545301708497,0.627,0.83,7.95335464950534e-17,"FUS","Up in Mild"
"RUNX3",1.29023743088384e-19,-1.25815374548787,0.347,0.606,3.00767247513333e-15,"RUNX3","Up in Mild"
"IER5",1.80227720527778e-19,-1.00463067587777,0.381,0.598,4.20128839322302e-15,"IER5","Up in Mild"
"XIST",4.49247141545954e-19,-1.08086521202915,0.227,0.463,1.04724001165777e-14,"XIST","Up in Mild"
"CD247",6.2705671066856e-19,-1.16218140810827,0.205,0.404,1.46173189823948e-14,"CD247","Up in Mild"
"LSP1",8.65139517752296e-19,-0.5377780251548,0.571,0.73,2.01672672983238e-14,"LSP1","Up in Mild"
"GZMM",2.09515635672531e-18,-1.37024249028619,0.202,0.404,4.88401898316236e-14,"GZMM","Up in Mild"
"ID2",1.85915890567116e-17,-1.03448102895094,0.424,0.624,4.33388532501004e-13,"ID2","Up in Mild"
"LIMD2",2.00930882701409e-17,-0.626476616990567,0.649,0.833,4.68389980665255e-13,"LIMD2","Up in Mild"
"METRNL",7.39940729703055e-17,-1.1871945236546,0.38,0.554,1.72487583501079e-12,"METRNL","Up in Mild"
