"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.9980891729474e-43,2.51270130208925,0.934,0.213,2.09754456710577e-38,"0","CD3D"
3.19104728528444e-35,1.96692287444569,0.966,0.297,7.43865032672657e-31,"0","CD3E"
8.84382838037183e-34,2.51547809747073,0.859,0.187,2.06158483374848e-29,"0","CD3G"
6.03883797099486e-33,1.9580694477787,0.795,0.215,1.40771351941861e-28,"0","TRAC"
1.15187902696643e-31,2.00968336355993,0.837,0.363,2.68514519976144e-27,"0","DUSP2"
2.76543119622944e-27,3.27475399606564,0.668,0.118,6.44649666153046e-23,"0","CD8A"
4.67121547267862e-27,2.27406813739576,0.773,0.269,1.08890703883611e-22,"0","LYAR"
2.24911547464371e-26,1.34885888658931,0.94,0.639,5.24291308294196e-22,"0","CXCR4"
2.4550086526772e-26,1.58354735047777,0.896,0.297,5.72287067025582e-22,"0","GZMM"
2.93418325080684e-26,1.7536899710138,0.997,0.453,6.83987457595583e-22,"0","CCL5"
3.91871996041866e-26,1.99912378770387,0.74,0.244,9.13492809973194e-22,"0","SPOCK2"
1.50344640239767e-25,1.49005505895414,0.984,0.37,3.50468390862922e-21,"0","IL32"
4.66070822595827e-23,0.66311074523052,0.998,0.934,1.08645769455313e-18,"0","RPS29"
6.89008865872766e-23,3.27481532863483,0.579,0.077,1.606148567236e-18,"0","CD8B"
9.12973094386513e-23,1.31655237186291,0.955,0.488,2.1282315803244e-18,"0","ARL4C"
1.12185443155262e-22,0.681721025174254,0.999,0.946,2.61515486539232e-18,"0","RPS3"
1.13685997349761e-22,1.1314929419064,0.963,0.795,2.65013428422027e-18,"0","ZFP36L2"
4.0025377538599e-22,0.626733204280841,0.999,0.95,9.33031575802282e-18,"0","RPS15A"
4.39288966910913e-22,3.66718447414247,0.513,0.066,1.02402651076603e-17,"0","GZMK"
1.6499964773087e-21,1.64042651007237,0.805,0.462,3.84630678825431e-17,"0","PIK3R1"
1.91835557362309e-21,1.72579423931785,0.784,0.285,4.47187867767278e-17,"0","RORA"
3.80222553084421e-21,1.93626181324005,0.827,0.361,8.86336793495093e-17,"0","TRBC2"
1.46370940944108e-20,1.144649699907,0.965,0.33,3.4120530043481e-16,"0","CST7"
1.5520229106358e-20,1.30573085305072,0.922,0.626,3.61792060698311e-16,"0","PPP2R5C"
1.59949263024501e-20,2.86438294754509,0.569,0.092,3.72857727036414e-16,"0","TRGC2"
4.24393260338107e-20,1.26007105245262,0.744,0.469,9.89303129174161e-16,"0","AKNA"
7.34169666359802e-20,0.561768731355826,0.996,0.927,1.71142290925133e-15,"0","RPL23A"
2.45675646128662e-19,0.649329880770508,0.999,0.956,5.72694498690524e-15,"0","RPS27"
3.86537597405819e-18,1.20544380884139,0.98,0.418,9.01057793312704e-14,"0","NKG7"
6.31189250176703e-18,2.29329407657649,0.425,0.132,1.47136526108691e-13,"0","RGS1"
9.89429936399345e-18,1.66645365264589,0.602,0.189,2.30646012474051e-13,"0","IL7R"
2.19380001580066e-17,1.308336545051,0.902,0.285,5.11396721683293e-13,"0","GZMA"
2.70685930684439e-17,0.501854411853071,0.997,0.931,6.30995973018496e-13,"0","RPL14"
4.30622965136197e-17,0.666308797781126,1,0.984,1.00382519402899e-12,"0","MALAT1"
4.39949610741906e-17,0.562773792496516,0.996,0.923,1.02556653760046e-12,"0","RPL3"
5.8022319086047e-17,1.9477773237907,0.564,0.173,1.35255828021484e-12,"0","CD6"
6.42724242603756e-17,0.728814245779096,0.993,0.882,1.49825448193362e-12,"0","BTG1"
6.50604480966852e-17,1.18028114069633,0.821,0.475,1.51662410558183e-12,"0","RUNX3"
