"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.39288966910913e-22,3.66718447414247,0.513,0.066,1.02402651076603e-17,"0","GZMK"
6.89008865872766e-23,3.27481532863483,0.579,0.077,1.606148567236e-18,"0","CD8B"
2.76543119622944e-27,3.27475399606564,0.668,0.118,6.44649666153046e-23,"0","CD8A"
1.59949263024501e-20,2.86438294754509,0.569,0.092,3.72857727036414e-16,"0","TRGC2"
1.73120910719166e-08,2.68694824759284,0.255,0.041,0.000403562154977448,"0","A2M-AS1"
1.73453833746331e-19,3.05783723695997,0.581,0.137,4.04338231846073e-15,"1","IL1B"
8.0004780053893e-13,3.02094742489595,0.332,0.056,1.8649914278363e-08,"1","PTGS2"
1.38845216289589e-16,2.90077531902065,0.409,0.067,3.23662083692662e-12,"1","ID1"
2.42425386220645e-19,2.87135928399844,0.354,0.057,5.65117817818947e-15,"1","HBEGF"
2.06429557872363e-11,2.8634675433606,0.285,0.051,4.81207942356266e-07,"1","OSM"
2.81003071619512e-27,5.82178128196099,0.502,0.012,6.55046260252243e-23,"2","MAL"
1.00597871921169e-15,5.2635844278905,0.26,0.011,2.34503699235437e-11,"2","TSHZ2"
1.9111210392632e-20,4.38250939500856,0.434,0.029,4.45501425462645e-16,"2","LEF1"
9.35408053776658e-13,4.26041784630155,0.362,0.028,2.18052971415877e-08,"2","TRABD2A"
1.30283553869302e-11,3.89269860549766,0.361,0.03,3.03703992424731e-07,"2","CD28"
4.97410477277271e-16,5.13853836352823,0.327,0.016,1.15951356358105e-11,"3","B3GNT7"
2.73460322451731e-14,4.31630405035749,0.28,0.023,6.37463357667231e-10,"3","TMIGD2"
8.73698024852029e-25,4.07609446876673,0.461,0.052,2.03667746573256e-20,"3","MYOM2"
4.57257213632932e-15,4.07369064002406,0.3,0.024,1.06591229069973e-10,"3","SH2D1B"
4.91954071751088e-16,3.95086272164685,0.317,0.028,1.14679413665896e-11,"3","AKR1C3"
3.75031888348175e-53,7.36044451296996,0.753,0.008,8.7423683492843e-49,"4","TCL1A"
9.79245863224341e-13,6.31026555563794,0.253,0.005,2.28272003176226e-08,"4","COL19A1"
9.92805103682357e-70,6.29456430211968,0.954,0.027,2.31432797719394e-65,"4","IGHD"
1.20078769984351e-43,5.80605346874194,0.644,0.025,2.79915620710521e-39,"4","FCER2"
7.05495672582212e-36,5.55587602153153,0.542,0.021,1.64458096235639e-31,"4","FCRL1"
